ticker,scan_date,c,gap,gap_pct,pm_high_pct,pm_vol,prev_close,prev_high,o,h,l,month
BGLC,2025-07-01,11.14,7.074999999999999,230.45602605863192,408.1433224755701,51022796.0,3.07,3.3307,10.145,15.6,8.83,2025-07
CLRO,2025-07-01,10.48,6.75,117.3913043478261,168.17391304347825,38800047.0,5.75,6.025,12.5,15.42,9.31,2025-07
BMNR,2025-07-01,46.0,18.1,53.39233038348083,120.64896755162242,47104915.0,33.9,34.36,52.0,74.8,41.2201,2025-07
WETO,2025-07-01,2.05,1.94,86.99551569506725,87.44394618834079,43380708.0,2.23,2.6163,4.17,4.18,1.89,2025-07
GPUS,2025-07-01,1.42,0.6200000000000001,44.28571428571429,59.2857142857143,115714489.0,1.4,1.4,2.02,2.23,1.37,2025-07
MOGO,2025-07-02,2.57,2.27,187.60330578512395,216.52892561983475,267085045.0,1.21,1.28,3.48,3.83,2.32,2025-07
DAIC,2025-07-02,8.19,4.009999999999999,86.98481561822122,210.19522776572668,44685675.0,4.61,5.14,8.62,14.3,7.81,2025-07
ELWS,2025-07-02,3.17,0.9550000000000001,50.26315789473684,74.21052631578948,59289234.0,1.9,1.94,2.855,3.31,2.54,2025-07
GITS,2025-07-03,3.84,2.49,152.76073619631904,200.61349693251537,46215077.0,1.63,1.63,4.12,4.9,3.35,2025-07
LRHC,2025-07-03,12.0,11.448,178.65168539325842,191.1360799001248,8107069.5,6.408,7.408,17.856,18.656,10.128,2025-07
MBIO,2025-07-07,3.34,2.37,199.15966386554624,488.2352941176471,278739673.0,1.19,1.29,3.56,7.0,3.23,2025-07
LGPS,2025-07-07,1.7,1.1800000000000002,140.4761904761905,158.33333333333334,71917000.0,0.84,0.87,2.02,2.17,1.26,2025-07
ARTL,2025-07-07,14.32,11.509999999999998,114.52736318407956,134.02985074626864,7190648.0,10.05,11.01,21.56,23.52,13.31,2025-07
SONN,2025-07-07,4.73,1.8200000000000003,46.42857142857144,53.06122448979591,30187877.0,3.92,4.14,5.74,6.0,4.54,2025-07
NDRA,2025-07-08,8.3,7.1434,206.65972342764567,246.0047445466644,90809585.0,3.4566,3.59,10.6,11.96,7.0,2025-07
SQNS,2025-07-08,2.06,0.5650000000000002,39.51048951048952,87.41258741258744,88908988.0,1.43,1.46,1.995,2.68,1.72,2025-07
